dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown rejectionPenalties potentialLost avgPotentialLost
Jun 12th 15:44:10.950 UTC 2 15 40 716 707 1709.145 3060.746 0 944.0076 775.5013 0 0 52 0 0 1185 589.3053 2.48652
Jun 12th 15:43:12.950 UTC 3 7 0 505 502 1277.394 2305.001 5 194.6575 10.61976 1 0 65 0 0 0 0 NaN
Jun 12th 15:43:10.948 UTC 2 14 39 712 704 1698.029 3043.44 0 943.2877 774.5439 0 0 52 0 0 1180 585.6265 2.481468
Jun 12th 15:42:12.948 UTC 3 7 0 504 501 1274.694 2299.126 5 194.6332 10.62548 1 0 65 0 0 0 0 NaN
Jun 12th 15:42:10.950 UTC 2 15 39 710 701 1692.506 3027.539 0 942.8422 773.9676 0 0 52 0 0 1170 582.9265 2.491139
Jun 12th 15:41:12.948 UTC 3 6 1 504 499 1274.694 2291.914 5 194.6332 10.67041 1 0 65 0 0 0 0 NaN
Jun 12th 15:41:10.958 UTC 2 15 40 708 700 1688.966 3022.497 0 942.3549 773.6782 0 0 52 0 0 1155 577.2265 2.498816
Jun 12th 15:40:12.154 UTC 3 7 1 502 498 1268.12 2288.618 5 194.7218 10.67041 1 0 64 0 0 0 0 NaN
Jun 12th 15:40:10.948 UTC 2 15 38 707 699 1686.311 3017.959 0 942.084 773.4959 0 0 52 0 0 1145 573.6865 2.505181
Jun 12th 15:39:11.275 UTC 3 9 1 501 496 1266.77 2277.36 5 194.8988 10.67041 1 0 63 0 0 0 0 NaN
Jun 12th 15:39:09.980 UTC 2 15 39 703 697 1677.943 3006.829 0 940.9871 773.1254 0 0 51 0 0 1135 567.9139 2.501823
Jun 12th 15:38:11.265 UTC 3 8 0 500 495 1264.93 2270.499 5 194.8048 10.68287 1 0 63 0 0 0 0 NaN
Jun 12th 15:38:09.969 UTC 2 14 38 700 696 1672.114 3002.77 0 939.952 772.8204 0 0 51 0 0 1135 567.9139 2.501823
Jun 12th 15:37:10.318 UTC 3 12 1 498 490 1262.33 2244.083 5 194.9017 10.69615 1 0 62 0 0 0 0 NaN
