dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown rejectionPenalties potentialLost avgPotentialLost
Jun 12th 15:58:27.903 UTC 2 14 38 801 793 2118.538 3157.921 0 296.4935 139.1326 0 0 69 0 0 850 301.1311 1.77136
Jun 12th 15:58:19.424 UTC 3 8 0 523 515 1363.529 2407.416 10 202.3846 16.48572 2 2 74 0 0 0 0 NaN
Jun 12th 15:57:27.903 UTC 2 15 40 799 788 2111.09 3137.182 0 296.7284 139.6619 0 0 69 0 0 840 296.7361 1.766286
Jun 12th 15:57:19.425 UTC 3 8 0 521 514 1357.094 2402.336 10 202.8736 16.51281 2 2 74 0 0 0 0 NaN
Jun 12th 15:56:27.904 UTC 2 15 40 794 787 2094.374 3132.887 0 296.4396 139.8237 0 0 69 0 0 825 290.3686 1.75981
Jun 12th 15:56:18.556 UTC 3 8 1 520 513 1355.744 2396.289 10 202.7826 16.52643 2 2 73 0 0 0 0 NaN
Jun 12th 15:55:27.914 UTC 2 15 39 791 786 2087.766 3130.774 0 296.9495 139.9236 0 0 69 0 0 820 287.0577 1.750352
Jun 12th 15:55:18.557 UTC 3 8 0 518 511 1350.789 2390.625 10 202.3917 16.58064 2 2 73 0 0 0 0 NaN
Jun 12th 15:54:27.903 UTC 2 14 37 791 784 2087.766 3125.043 0 296.9495 140.3937 0 0 69 0 0 820 287.0577 1.750352
Jun 12th 15:54:18.547 UTC 3 10 0 515 509 1339.434 2382.433 10 202.4778 16.58064 2 2 73 0 0 0 0 NaN
Jun 12th 15:53:27.904 UTC 2 15 37 786 778 2077.018 3102.492 0 296.6033 140.6745 0 0 69 0 0 820 287.0577 1.750352
Jun 12th 15:53:17.688 UTC 3 9 1 515 509 1339.434 2382.433 10 202.4778 16.60402 2 2 72 0 0 0 0 NaN
Jun 12th 15:52:27.904 UTC 2 15 37 784 775 2071.033 3092.351 0 297.1591 140.8042 0 0 69 0 0 820 287.0577 1.750352
Jun 12th 15:52:16.862 UTC 3 10 1 514 507 1337.664 2373.533 10 202.7402 16.6253 2 2 71 0 0 0 0 NaN
Jun 12th 15:51:27.914 UTC 2 15 36 781 773 2053.584 3084.472 0 297.6006 141.1443 0 0 69 0 0 820 287.0577 1.750352
Jun 12th 15:51:16.851 UTC 3 9 1 512 506 1332.544 2368.702 10 202.7205 16.67717 2 2 71 0 0 0 0 NaN
Jun 12th 15:50:26.884 UTC 2 15 38 779 769 2051.784 3071.474 0 297.8074 141.0463 0 0 68 0 0 820 287.0577 1.750352
Jun 12th 15:50:16.291 UTC 3 14 0 510 500 1326.369 2333.637 10 202.6882 16.69843 2 2 70 0 0 0 0 NaN
Jun 12th 15:49:26.893 UTC 2 13 40 776 767 2038.508 3065.555 0 298.4389 141.1343 0 0 68 0 0 820 287.0577 1.750352
Jun 12th 15:49:15.435 UTC 3 12 1 510 499 1326.369 2325.538 10 202.6882 16.77913 2 2 69 0 0 0 0 NaN
Jun 12th 15:48:26.884 UTC 2 14 39 772 764 2021.559 3053.004 0 293.8117 141.2045 0 0 68 0 0 815 284.7477 1.746918
Jun 12th 15:48:15.445 UTC 3 13 0 508 497 1323.317 2315.563 10 202.6535 16.79766 2 2 69 0 0 0 0 NaN
Jun 12th 15:47:26.882 UTC 2 15 40 769 760 2012.819 3038.487 0 294.2605 141.562 0 0 68 0 0 805 284.7477 1.768619
Jun 12th 15:47:15.434 UTC 3 14 0 506 495 1313.664 2305.262 10 202.7344 16.82792 2 2 69 0 0 0 0 NaN
Jun 12th 15:46:26.883 UTC 2 15 38 765 759 2000.918 3032.501 0 294.663 141.7232 0 0 68 0 0 795 278.774 1.753295
Jun 12th 15:46:15.434 UTC 3 14 1 505 493 1310.274 2296.336 10 202.5901 16.76744 2 2 69 0 0 0 0 NaN
Jun 12th 15:45:26.893 UTC 2 14 35 764 758 1998.263 3027.114 0 294.9062 140.8925 0 0 68 0 0 795 278.774 1.753295
Jun 12th 15:45:15.435 UTC 3 15 1 501 491 1297.487 2290.854 10 202.2126 16.76647 2 2 69 0 0 0 0 NaN
Jun 12th 15:44:26.883 UTC 2 14 38 761 753 1989.5 3005.711 0 294.4723 137.8382 0 0 68 0 0 795 278.774 1.753295
Jun 12th 15:44:15.445 UTC 3 15 1 500 489 1295.852 2279.688 10 202.4272 16.68138 2 2 69 0 0 0 0 NaN
Jun 12th 15:43:25.975 UTC 2 15 39 760 748 1988.901 2981.618 0 294.5025 138.1788 0 0 67 0 0 795 278.774 1.753295
Jun 12th 15:43:14.711 UTC 3 14 1 495 488 1280.488 2273.296 10 202.1401 16.70246 2 2 68 0 0 0 0 NaN
Jun 12th 15:42:25.150 UTC 2 15 40 759 747 1985.222 2976.617 0 294.6939 138.2816 0 0 66 0 0 785 274.5695 1.74885
Jun 12th 15:42:14.713 UTC 3 15 0 493 487 1274.48 2270.472 10 202.2204 16.70246 2 2 68 0 0 0 0 NaN
Jun 12th 15:41:25.150 UTC 2 15 40 755 746 1979.127 2973.714 0 290.8705 138.3768 0 0 66 0 0 775 266.213 1.717503
Jun 12th 15:41:14.721 UTC 3 12 0 492 486 1272.455 2266.177 10 202.2418 16.77334 2 2 68 0 0 0 0 NaN
Jun 12th 15:40:25.160 UTC 2 15 38 751 745 1967.944 2969.396 0 286.3474 137.6643 0 0 66 0 0 775 266.213 1.717503
Jun 12th 15:40:14.708 UTC 3 10 1 491 486 1269.135 2266.177 10 202.4265 16.82333 2 2 68 0 0 0 0 NaN
Jun 12th 15:39:25.157 UTC 2 15 38 747 742 1958.614 2960.904 0 286.522 138.0889 0 0 66 0 0 775 266.213 1.717503
Jun 12th 15:39:14.709 UTC 3 10 0 489 484 1265.865 2254.006 10 202.2191 16.8636 2 2 68 0 0 0 0 NaN
Jun 12th 15:38:25.148 UTC 2 15 37 746 741 1957.264 2956.408 0 286.27 138.2466 0 0 66 0 0 775 266.213 1.717503
Jun 12th 15:38:14.719 UTC 3 6 1 489 483 1265.865 2250.419 10 202.2191 16.99712 2 2 68 0 0 0 0 NaN
Jun 12th 15:37:24.230 UTC 2 15 38 744 738 1950.469 2940.427 0 286.7524 134.4393 0 0 65 0 0 775 266.213 1.717503
Jun 12th 15:37:14.168 UTC 3 6 0 487 483 1261.67 2250.419 10 202.4487 16.99712 2 2 67 0 0 0 0 NaN
Jun 12th 15:36:24.239 UTC 2 14 39 742 733 1946.184 2927.164 0 287.1074 130.1213 0 0 65 0 0 775 266.213 1.717503
Jun 12th 15:36:14.168 UTC 3 8 0 487 481 1261.67 2241.909 10 202.4487 16.99712 2 2 67 0 0 0 0 NaN
Jun 12th 15:35:24.228 UTC 2 15 39 739 729 1938.61 2913.905 0 287.7915 130.2514 0 0 65 0 0 770 264.863 1.719889
Jun 12th 15:35:14.178 UTC 3 6 1 486 480 1258.205 2235.648 10 202.572 17.07471 2 2 67 0 0 0 0 NaN
Jun 12th 15:34:24.238 UTC 2 14 39 736 727 1935.04 2906.98 0 288.4447 130.7388 0 0 65 0 0 770 264.863 1.719889
Jun 12th 15:34:14.177 UTC 3 8 0 485 477 1255.55 2220.248 10 202.689 17.10215 2 2 67 0 0 0 0 NaN
Jun 12th 15:33:24.238 UTC 2 15 40 731 724 1915.979 2891.363 0 288.924 131.0253 0 0 65 0 0 755 254.8492 1.687743
Jun 12th 15:33:14.169 UTC 3 8 0 483 476 1248.868 2214.427 10 202.2778 17.13583 2 2 67 0 0 0 0 NaN
Jun 12th 15:32:24.237 UTC 2 14 38 728 723 1906.55 2885.983 0 289.2394 131.3066 0 0 65 0 0 745 248.4292 1.66731
Jun 12th 15:32:14.171 UTC 3 10 1 483 473 1248.868 2198.229 10 202.2778 17.15115 2 2 67 0 0 0 0 NaN
Jun 12th 15:31:24.226 UTC 2 14 40 727 719 1900.576 2867.985 0 289.3931 131.7715 0 0 65 0 0 735 244.5092 1.663328
Jun 12th 15:31:14.180 UTC 3 12 0 480 471 1237.314 2187.673 10 202.1994 17.15115 2 2 67 0 0 0 0 NaN
Jun 12th 15:30:24.239 UTC 2 14 39 726 718 1898.266 2863.508 0 289.4311 131.9476 0 0 65 0 0 715 238.7367 1.669488
Jun 12th 15:30:14.170 UTC 3 13 0 480 470 1237.314 2180.719 10 202.1994 17.15115 2 2 67 0 0 0 0 NaN
Jun 12th 15:29:23.373 UTC 2 15 40 723 714 1886.836 2847.348 0 289.3229 132.2374 0 0 64 0 0 715 238.7367 1.669488
Jun 12th 15:29:14.171 UTC 3 12 0 477 469 1231.469 2174.42 10 202.1262 17.20942 2 2 67 0 0 0 0 NaN
Jun 12th 15:28:23.373 UTC 2 15 39 719 712 1871.356 2836.412 0 289.8712 132.5533 0 0 64 0 0 705 235.2817 1.668665
Jun 12th 15:28:14.161 UTC 3 12 0 475 468 1227.869 2173.45 10 202.0407 17.24395 2 2 67 0 0 0 0 NaN
Jun 12th 15:27:23.362 UTC 2 15 39 717 709 1866.574 2820.919 0 289.9126 132.8932 0 0 64 0 0 700 233.6887 1.669205
Jun 12th 15:27:13.556 UTC 3 13 3 473 464 1216.81 2153.923 10 202.1079 17.12099 2 2 66 0 0 0 0 NaN
Jun 12th 15:26:23.374 UTC 2 15 38 716 708 1861.376 2815.031 0 290.0149 133.0413 0 0 64 0 0 700 233.6887 1.669205
Jun 12th 15:26:12.824 UTC 3 15 2 473 460 1216.81 2140.734 10 202.1079 16.94957 2 2 65 0 0 0 0 NaN
Jun 12th 15:25:23.372 UTC 2 14 38 714 706 1855.043 2805.133 0 290.2269 133.0073 0 0 64 0 0 700 233.6887 1.669205
Jun 12th 15:25:12.814 UTC 3 15 0 469 459 1202.323 2136.369 10 201.7711 16.95121 2 2 65 0 0 0 0 NaN
Jun 12th 15:24:22.445 UTC 2 15 39 712 703 1852.073 2795.55 0 290.2197 133.3434 0 0 63 0 0 695 231.2362 1.66357
Jun 12th 15:24:12.813 UTC 3 14 0 466 458 1191.444 2134.777 10 202.1362 16.99685 2 2 65 0 0 0 0 NaN
Jun 12th 15:23:22.454 UTC 2 14 40 708 701 1842.316 2787.192 0 290.5313 133.6168 0 0 63 0 0 690 228.4762 1.655625
Jun 12th 15:23:12.813 UTC 3 13 0 461 457 1186.694 2131.439 10 200.9276 17.04504 2 2 65 0 0 0 0 NaN
Jun 12th 15:22:22.444 UTC 2 15 40 707 698 1841.116 2770.292 0 290.6556 133.9611 0 0 63 0 0 685 223.7985 1.633566
Jun 12th 15:22:12.822 UTC 3 12 0 460 455 1185.354 2125.465 10 200.8731 17.14025 2 2 65 0 0 0 0 NaN
Jun 12th 15:21:22.444 UTC 2 15 39 703 697 1833.916 2765.106 0 290.9465 133.9473 0 0 63 0 0 680 223.1985 1.641165
Jun 12th 15:21:12.813 UTC 3 15 1 459 449 1180.872 2089.97 10 200.3728 17.0807 2 2 65 0 0 0 0 NaN
Jun 12th 15:20:22.455 UTC 2 14 40 701 694 1824.928 2748.158 0 291.1851 134.3163 0 0 63 0 0 680 223.1985 1.641165
Jun 12th 15:20:12.813 UTC 3 15 2 458 445 1179.782 2074.669 10 200.0936 16.56557 2 2 65 0 0 0 0 NaN
Jun 12th 15:19:22.444 UTC 2 15 37 700 692 1823.388 2739.568 0 291.273 134.4881 0 0 63 0 0 675 220.4985 1.633322
Jun 12th 15:19:12.813 UTC 3 13 5 455 444 1175.572 2068.746 10 200.3943 15.01146 2 2 65 0 0 0 0 NaN
Jun 12th 15:18:22.445 UTC 2 12 40 698 690 1817.718 2729.765 0 288.8109 135.1306 0 0 63 0 0 675 220.4985 1.633322
Jun 12th 15:18:12.824 UTC 3 14 5 453 440 1169.193 2041.673 10 200.3641 14.6007 2 2 65 0 0 0 0 NaN
Jun 12th 15:17:21.516 UTC 2 15 40 697 686 1815.018 2716.375 0 288.9023 135.2251 0 0 62 0 0 660 211.3219 1.600923
Jun 12th 15:17:12.814 UTC 3 14 6 452 438 1164.213 2033.494 10 200.2053 14.08571 2 2 65 0 0 0 0 NaN
Jun 12th 15:16:21.518 UTC 2 14 39 691 686 1799.632 2716.375 0 288.7061 135.3885 0 0 62 0 0 650 208.0694 1.600533
Jun 12th 15:16:12.817 UTC 3 15 6 449 436 1158.398 2023.353 10 200.0124 13.86824 2 2 65 0 0 0 0 NaN
Jun 12th 15:15:21.508 UTC 2 15 36 689 684 1797.342 2710.481 0 289.0998 135.5624 0 0 62 0 0 650 208.0694 1.600533
Jun 12th 15:15:12.807 UTC 3 15 4 444 436 1146.803 2023.353 10 199.5894 13.86824 2 2 65 0 0 0 0 NaN
Jun 12th 15:14:21.515 UTC 2 14 38 685 681 1786.975 2699.886 0 288.9509 133.6326 0 0 62 0 0 650 208.0694 1.600533
Jun 12th 15:14:12.814 UTC 3 15 2 442 435 1137.083 2014.893 10 199.3636 13.66667 2 1 65 0 0 0 0 NaN
