dt1 dt2 dt3 dt4 uw controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown rejecValue avgRejecValue potentialLost avgPotentialLost
Jun 17th 18:45:28.144 UTC 15 5 6 0 557 555 1481.13 2712.759 15 340.1708 146.1346 3 0 3 0 1 0 0 NaN 0 NaN
Jun 17th 18:45:23.931 UTC 18 13 20 26 267 258 660.5796 1051.323 0 455.4655 333.8149 0 0 30 0 0 355 167.1274 2.353907 147.5756 2.07853
Jun 17th 18:45:22.377 UTC 19 2 2 0 580 580 1501.545 2545.858 5 300.2394 121.1289 1 0 4 0 0 0 0 NaN 0 NaN
Jun 17th 18:45:02.906 UTC 14 14 3 0 675 674 1648.495 3396.692 0 574.2139 375.3024 0 0 9 0 1 235 114.5801 2.437875 89.5304 1.904902
Jun 17th 18:45:02.706 UTC 13 10 16 0 718 710 1777.065 3486.041 10 532.6424 337.061 2 0 8 0 0 380 205.0381 2.69787 192.1557 2.528365
Jun 17th 18:44:48.588 UTC 0 22 1 0 299 299 742.7805 1166.266 0 555.0787 400.4368 0 0 26 0 0 650 312.003 2.400023 298.8334 2.298719
Jun 17th 18:44:44.949 UTC 4 9 2 0 399 398 1122.529 1677.767 5 237.3872 65.2363 1 0 8 0 2 0 0 NaN 0 NaN
Jun 17th 18:44:42.817 UTC 8 8 20 13 520 506 1278.124 2288.505 0 449.4499 270.7345 0 0 13 0 0 300 130.8475 2.180791 128.0722 2.134537
Jun 17th 18:44:42.661 UTC 9 23 4 0 738 737 1790.497 3694.148 10 526.5837 327.4313 2 0 3 0 0 155 69.97927 2.257396 62.97853 2.031566
Jun 17th 18:44:39.631 UTC 3 19 20 6 633 622 1670.674 2932.654 0 518.4822 336.1201 0 1 13 0 1 185 89.43242 2.417092 64.12215 1.733031
Jun 17th 18:44:37.532 UTC 22 17 3 0 479 478 1263.423 2033.756 15 233.5479 50.85067 3 0 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:44:37.525 UTC 2 24 7 0 805 803 1966.29 4297.776 10 609.6225 396.8443 2 0 0 0 0 295 136.9435 2.321075 117.1988 1.986421
Jun 17th 18:44:37.520 UTC 17 3 3 0 666 665 1708.235 3160.669 5 407.1792 217.6896 1 0 0 0 0 25 10.72395 2.14479 10.31695 2.06339
Jun 17th 18:44:37.488 UTC 6 16 3 0 589 585 1549.37 2998.015 5 366.339 164.666 1 1 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:44:37.443 UTC 20 15 1 0 568 568 1539.417 2563.883 0 268.2213 90.60445 0 0 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:44:37.210 UTC 11 20 4 0 535 533 1403.692 2316.751 35.17241 247.1047 72.16878 7 1 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:44:32.589 UTC 1 11 7 0 454 445 1138.583 2118.728 7.881369 371.7489 168.6113 1 3 13 0 4 0 0 NaN 0 NaN
Jun 17th 18:44:28.143 UTC 15 5 8 0 556 553 1477.81 2694.93 15 340.4337 146.1346 3 0 3 0 1 0 0 NaN 0 NaN
Jun 17th 18:44:22.376 UTC 19 2 2 0 580 580 1501.545 2545.858 5 300.2394 121.1289 1 0 4 0 0 0 0 NaN 0 NaN
Jun 17th 18:44:02.906 UTC 14 14 4 0 674 673 1646.724 3388.092 0 574.8654 375.3024 0 0 9 0 1 235 114.5801 2.437875 89.5304 1.904902
Jun 17th 18:44:02.706 UTC 13 10 18 0 713 708 1761.976 3476.872 10 534.8264 337.061 2 0 8 0 0 380 205.0381 2.69787 192.1557 2.528365
Jun 17th 18:43:48.588 UTC 0 22 1 0 299 299 742.7805 1166.266 0 555.0787 400.4368 0 0 26 0 0 650 312.003 2.400023 298.8334 2.298719
Jun 17th 18:43:44.938 UTC 4 9 2 0 398 398 1120.504 1677.767 5 237.6787 65.2363 1 0 8 0 2 0 0 NaN 0 NaN
Jun 17th 18:43:42.837 UTC 8 8 20 16 515 503 1261.68 2274.187 0 449.0748 270.4616 0 0 13 0 0 300 130.8475 2.180791 128.0722 2.134537
Jun 17th 18:43:42.650 UTC 9 23 4 0 737 737 1789.697 3694.148 10 527.0917 327.4313 2 0 3 0 0 155 69.97927 2.257396 62.97853 2.031566
Jun 17th 18:43:39.622 UTC 3 19 18 11 630 619 1663.029 2916.217 0 517.1191 329.7778 0 1 13 0 1 185 89.43242 2.417092 64.12215 1.733031
Jun 17th 18:43:37.529 UTC 17 3 3 0 666 665 1708.235 3160.669 5 407.1792 217.6896 1 0 0 0 0 25 10.72395 2.14479 10.31695 2.06339
Jun 17th 18:43:37.526 UTC 2 24 7 0 803 803 1963.29 4297.776 10 610.8082 396.8443 2 0 0 0 0 295 136.9435 2.321075 117.1988 1.986421
Jun 17th 18:43:37.521 UTC 22 17 3 0 478 478 1261.653 2033.756 15 233.79 50.85067 3 0 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:43:37.478 UTC 6 16 3 0 586 585 1535.73 2998.015 5 367.6679 164.666 1 1 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:43:37.432 UTC 20 15 2 0 568 567 1539.417 2555.87 0 268.2213 90.60445 0 0 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:43:37.200 UTC 11 20 4 0 534 533 1402.602 2316.751 35.17241 247.3492 72.16878 7 1 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:43:32.610 UTC 1 11 8 0 454 444 1138.583 2112.013 7.881369 371.7489 168.6113 1 3 13 0 4 0 0 NaN 0 NaN
Jun 17th 18:43:28.133 UTC 15 5 9 0 555 552 1476.01 2686.432 15 340.8767 146.1346 3 0 3 0 1 0 0 NaN 0 NaN
Jun 17th 18:43:22.367 UTC 19 2 2 0 580 580 1501.545 2545.858 5 300.2394 121.1289 1 0 4 0 0 0 0 NaN 0 NaN
Jun 17th 18:43:02.896 UTC 14 14 5 0 674 672 1646.724 3380.283 0 574.8654 375.3024 0 0 9 0 1 235 114.5801 2.437875 89.5304 1.904902
Jun 17th 18:43:02.696 UTC 13 10 20 0 710 706 1756.269 3461.737 10 536.4716 337.061 2 0 8 0 0 380 205.0381 2.69787 192.1557 2.528365
Jun 17th 18:42:48.598 UTC 0 22 1 0 299 299 742.7805 1166.266 0 555.0787 400.4368 0 0 26 0 0 650 312.003 2.400023 298.8334 2.298719
Jun 17th 18:42:44.939 UTC 4 9 2 0 398 398 1120.504 1677.767 5 237.6787 65.2363 1 0 8 0 2 0 0 NaN 0 NaN
Jun 17th 18:42:42.826 UTC 8 8 20 17 512 502 1256.8 2269.528 0 450.0584 270.8184 0 0 13 0 0 300 130.8475 2.180791 128.0722 2.134537
Jun 17th 18:42:42.651 UTC 9 23 4 0 737 737 1789.697 3694.148 10 527.0917 327.4313 2 0 3 0 0 155 69.97927 2.257396 62.97853 2.031566
Jun 17th 18:42:39.622 UTC 3 19 20 14 627 614 1650.336 2895.774 0 516.0488 330.9991 0 1 13 0 1 185 89.43242 2.417092 64.12215 1.733031
Jun 17th 18:42:37.534 UTC 2 24 5 3 803 802 1963.29 4290.398 10 610.8082 398.2169 2 0 0 0 0 295 136.9435 2.321075 117.1988 1.986421
Jun 17th 18:42:37.533 UTC 22 17 3 0 478 478 1261.653 2033.756 15 233.79 50.85067 3 0 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:42:37.521 UTC 17 3 3 0 666 665 1708.235 3160.669 5 407.1792 217.6896 1 0 0 0 0 25 10.72395 2.14479 10.31695 2.06339
Jun 17th 18:42:37.478 UTC 6 16 3 0 586 585 1535.73 2998.015 5 367.6679 164.666 1 1 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:42:37.453 UTC 20 15 2 0 568 567 1539.417 2555.87 0 268.2213 90.60445 0 0 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:42:37.220 UTC 11 20 3 1 534 533 1402.602 2316.751 35.17241 247.3492 72.23271 7 1 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:42:32.600 UTC 1 11 10 0 454 442 1138.583 2099.788 7.881369 371.7489 168.6113 1 3 13 0 4 0 0 NaN 0 NaN
Jun 17th 18:42:28.132 UTC 15 5 6 3 555 552 1476.01 2686.432 15 340.8767 146.6925 3 0 3 0 1 0 0 NaN 0 NaN
Jun 17th 18:42:22.376 UTC 19 2 1 1 580 579 1501.545 2538.653 5 300.2394 121.5212 1 0 4 0 0 0 0 NaN 0 NaN
Jun 17th 18:42:07.573 UTC 10 12 20 40 404 396 1066.851 1508.09 0 321.4719 214.6925 0 0 25 0 0 295 145.6762 2.469088 107.2292 1.817444
Jun 17th 18:42:02.906 UTC 14 14 2 0 674 672 1646.724 3380.283 0 574.8654 376.9377 0 0 9 0 1 235 114.5801 2.437875 89.5304 1.904902
Jun 17th 18:42:02.707 UTC 13 10 16 1 710 705 1756.269 3454.748 10 536.4716 339.2915 2 0 8 0 0 380 205.0381 2.69787 192.1557 2.528365
Jun 17th 18:41:48.587 UTC 0 22 1 0 299 298 742.7805 1158.362 0 555.0787 401.758 0 0 26 0 0 650 312.003 2.400023 298.8334 2.298719
Jun 17th 18:41:44.929 UTC 4 9 0 0 398 398 1120.504 1677.767 5 237.6787 65.54224 1 0 8 0 2 0 0 NaN 0 NaN
Jun 17th 18:41:42.661 UTC 9 23 3 0 737 734 1789.697 3673.568 10 527.0917 329.1284 2 0 3 0 0 155 69.97927 2.257396 62.97853 2.031566
Jun 17th 18:41:39.612 UTC 3 19 20 12 625 613 1647.924 2890.902 0 515.8829 331.3074 0 1 13 0 1 185 89.43242 2.417092 64.12215 1.733031
Jun 17th 18:41:37.533 UTC 22 17 1 0 478 478 1261.653 2033.756 15 233.79 51.02383 3 0 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:41:37.523 UTC 2 24 4 0 803 799 1963.29 4270.533 10 610.8082 400.1538 2 0 0 0 0 295 136.9435 2.321075 117.1988 1.986421
Jun 17th 18:41:37.521 UTC 17 3 3 0 666 663 1708.235 3147.602 5 407.1792 218.3313 1 0 0 0 0 25 10.72395 2.14479 10.31695 2.06339
Jun 17th 18:41:37.488 UTC 6 16 0 0 586 585 1535.73 2998.015 5 367.6679 165.4876 1 1 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:41:37.442 UTC 20 15 1 0 568 567 1539.417 2555.87 0 268.2213 90.76338 0 0 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:41:37.209 UTC 11 20 0 0 534 533 1402.602 2316.751 35.17241 247.3492 72.6062 7 1 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:41:33.178 UTC 21 4 2 0 728 726 1850.782 3695.817 5 712.7482 511.6428 1 0 9 0 0 680 352.9054 2.594893 326.1358 2.398057
Jun 17th 18:41:32.601 UTC 1 11 12 0 454 439 1138.583 2084.365 7.881369 371.7489 168.9795 1 3 13 0 4 0 0 NaN 0 NaN
Jun 17th 18:41:28.142 UTC 15 5 3 0 555 552 1476.01 2686.432 15 340.8767 147.4024 3 0 3 0 1 0 0 NaN 0 NaN
