dt1 dt2 dt3 dt4 uw controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown rejecValue avgRejecValue potentialLost avgPotentialLost
Jun 18th 02:20:28.778 UTC 5 17 2 0 746 743 2036.309 3082.13 30 283.1648 112.8976 6 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:20:28.523 UTC 17 3 18 0 928 916 2585.709 4463.102 10 693.8192 499.2728 2 0 0 0 0 7045 955.216 0.6779389 873.6163 0.6200258
Jun 18th 02:20:28.458 UTC 21 15 3 0 842 839 2142.721 3746.607 15 402.2834 226.2861 3 0 0 0 0 10 1.085727 0.5428634 0.7857268 0.3928634
Jun 18th 02:20:28.318 UTC 12 16 5 0 808 803 2132.048 4162.95 0 552.9199 346.8387 0 0 0 0 0 30 3.985927 0.6643212 3.445927 0.5743212
Jun 18th 02:20:28.266 UTC 19 9 5 0 644 639 1738.073 2588.392 0 416.7814 251.3236 0 1 10 0 6 40 5.515581 0.6894476 5.215581 0.6519477
Jun 18th 02:20:21.140 UTC 14 8 20 17 732 724 2016.363 3482.523 0 614.0847 436.3877 0 0 10 0 1 380 63.65245 0.8375323 55.76245 0.7337164
Jun 18th 02:20:20.147 UTC 1 21 16 24 535 529 1450.1 2147.731 7.796717 505.7238 352.6817 1 1 18 0 9 6335 1068.262 0.8431425 1064.606 0.840257
Jun 18th 02:20:16.410 UTC 2 23 20 30 811 798 2545.155 4173.618 10 679.0247 478.971 2 0 5 0 1 12715 2156.083 0.8478502 2022.974 0.7955068
Jun 18th 02:20:07.425 UTC 18 18 20 32 694 683 2328.881 3477.234 10 647.7485 448.9988 2 0 11 0 0 32210 4715.922 0.7320586 3921.823 0.6087897
Jun 18th 02:20:04.468 UTC 3 19 20 232 567 559 1829.476 2645.371 10 1061.918 903.8831 2 0 18 0 1 426345 86794.16 1.017886 24328.29 0.2853123
Jun 18th 02:20:03.652 UTC 9 20 7 0 810 804 2093.07 3559.763 20 451.7747 271.2946 4 0 2 0 0 0 0 NaN 0 NaN
Jun 18th 02:19:45.727 UTC 7 10 20 33 822 811 2643.867 4141.959 0 742.0524 551.8173 0 0 6 0 0 28030 5040.067 0.8990487 4619.278 0.8239882
Jun 18th 02:19:40.245 UTC 16 5 5 0 740 735 1955.922 3480.206 5 612.1486 425.6235 1 1 7 0 2 5575 1165.543 1.04533 1158.271 1.038808
Jun 18th 02:19:38.028 UTC 4 24 20 40 843 831 2899.386 4672.541 5.113008 804.5201 573.5419 1 1 1 0 0 12610 2818.082 1.1174 2667.466 1.057679
Jun 18th 02:19:34.295 UTC 15 14 18 65 552 539 2015.629 2740.133 0 655.1307 486.7087 0 0 16 0 1 43000 11487.19 1.33572 10704.13 1.244666
Jun 18th 02:19:29.589 UTC 22 4 19 256 737 723 2404.638 4077.826 0.1455382 896.851 684.3868 0 1 7 0 1 260720 41242.75 0.7909396 2883.498 0.05529875
Jun 18th 02:19:28.767 UTC 5 17 4 0 746 741 2036.309 3071.813 30 283.1648 112.8976 6 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:19:28.523 UTC 17 3 18 0 923 916 2576.214 4463.102 10 695.1078 499.2728 2 0 0 0 0 7045 955.216 0.6779389 873.6163 0.6200258
Jun 18th 02:19:28.457 UTC 21 15 4 0 842 838 2142.721 3740.694 15 402.2834 226.2861 3 0 0 0 0 10 1.085727 0.5428634 0.7857268 0.3928634
Jun 18th 02:19:28.309 UTC 12 16 6 0 808 802 2132.048 4157.863 0 552.9199 346.8387 0 0 0 0 0 30 3.985927 0.6643212 3.445927 0.5743212
Jun 18th 02:19:28.266 UTC 19 9 8 0 644 636 1738.073 2575.695 0 416.7814 251.3236 0 1 10 0 6 40 5.515581 0.6894476 5.215581 0.6519477
Jun 18th 02:19:21.141 UTC 14 8 20 21 732 720 2016.363 3462.988 0 614.0847 433.4628 0 0 10 0 1 380 63.65245 0.8375323 55.76245 0.7337164
Jun 18th 02:19:16.407 UTC 2 23 20 31 805 797 2529.694 4170.248 10 676.719 476.9066 2 0 5 0 1 12715 2156.083 0.8478502 2022.974 0.7955068
Jun 18th 02:19:07.424 UTC 18 18 20 33 690 682 2315.63 3473.115 10 649.5299 448.5728 2 0 11 0 0 32210 4715.922 0.7320586 3921.823 0.6087897
Jun 18th 02:19:04.476 UTC 3 19 19 236 566 556 1828.591 2630.638 10 1058.054 892.0916 2 0 18 0 1 422655 86004.27 1.017429 24339.83 0.2879396
Jun 18th 02:19:03.650 UTC 9 20 8 0 810 803 2093.07 3554.698 20 451.7747 271.2946 4 0 2 0 0 0 0 NaN 0 NaN
Jun 18th 02:18:21.153 UTC 14 8 19 25 729 717 2010.56 3445.439 0 611.5991 429.7252 0 0 10 0 1 380 63.65245 0.8375323 55.76245 0.7337164
Jun 18th 02:18:16.418 UTC 2 23 20 35 802 793 2523.168 4150.929 10 676.3967 472.6202 2 0 5 0 1 12715 2156.083 0.8478502 2022.974 0.7955068
Jun 18th 02:18:07.434 UTC 18 18 19 36 688 680 2308.231 3463.959 10 650.5718 446.6807 2 0 11 0 0 32210 4715.922 0.7320586 3921.823 0.6087897
Jun 18th 02:18:04.467 UTC 3 19 20 242 564 549 1825.921 2607.221 10 1053.219 879.7689 2 0 18 0 1 416970 84787.32 1.016708 24357.59 0.2920785
Jun 18th 02:18:03.650 UTC 9 20 9 0 810 802 2093.07 3550.847 20 451.7747 271.2946 4 0 2 0 0 0 0 NaN 0 NaN
Jun 18th 02:17:21.150 UTC 14 8 20 27 725 714 2003.732 3435.055 0 608.828 426.7549 0 0 10 0 1 380 63.65245 0.8375323 55.76245 0.7337164
Jun 18th 02:17:16.406 UTC 2 23 20 38 796 790 2503.665 4138.11 10 676.954 470.5333 2 0 5 0 1 12715 2156.083 0.8478502 2022.974 0.7955068
Jun 18th 02:17:07.435 UTC 18 18 20 39 686 676 2300.388 3439.263 10 651.7943 446.9947 2 0 11 0 0 32210 4715.922 0.7320586 3921.823 0.6087897
Jun 18th 02:17:04.476 UTC 3 19 20 242 559 549 1815.569 2607.221 10 1052.169 879.7689 2 0 18 0 1 416970 84787.32 1.016708 24357.59 0.2920785
Jun 18th 02:17:03.662 UTC 9 20 10 0 806 801 2083.446 3545.597 20 452.788 271.2946 4 0 2 0 0 0 0 NaN 0 NaN
Jun 18th 02:16:21.140 UTC 14 8 20 28 722 713 1998.512 3429.334 0 606.9091 425.2641 0 0 10 0 1 380 63.65245 0.8375323 55.76245 0.7337164
Jun 18th 02:16:16.406 UTC 2 23 20 39 796 789 2503.665 4131.603 10 676.954 468.6971 2 0 5 0 1 12715 2156.083 0.8478502 2022.974 0.7955068
Jun 18th 02:16:07.421 UTC 18 18 20 43 683 672 2290.143 3418.345 10 651.9063 448.6217 2 0 11 0 0 32210 4715.922 0.7320586 3921.823 0.6087897
