dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown potentialLost avgPotentialLost
Jun 11th 08:48:49.171 UTC 2 14 38 761 752 1964.773 2942.977 0 299.1529 144.6715 0 0 69 0 0 268.0461 1.928389
Jun 11th 08:48:29.762 UTC 3 14 0 506 494 1333.626 2238.418 10.0214 193.7782 13.36685 2 1 58 0 0 0 NaN
Jun 11th 08:47:49.171 UTC 2 15 38 757 748 1955.185 2925.132 0 297.7728 145.1872 0 0 69 0 0 264.6981 1.918102
Jun 11th 08:47:29.771 UTC 3 13 1 502 493 1325.12 2234.547 10.0214 193.6446 13.38865 2 1 58 0 0 0 NaN
Jun 11th 08:46:49.182 UTC 2 15 39 755 745 1951.075 2915.498 0 297.5989 145.4067 0 0 69 0 0 258.9606 1.904122
Jun 11th 08:46:29.770 UTC 3 15 0 500 491 1318.451 2227.402 10.0214 193.7542 13.38865 2 1 58 0 0 0 NaN
Jun 11th 08:45:49.171 UTC 2 15 37 754 744 1945.878 2910.992 0 297.6762 145.5616 0 0 69 0 0 250.6041 1.87018
Jun 11th 08:45:29.770 UTC 3 14 1 497 490 1309.878 2221.811 10.0214 193.6228 13.34749 2 1 58 0 0 0 NaN
Jun 11th 08:44:49.170 UTC 2 15 36 749 743 1931.03 2907.08 0 297.7321 145.7182 0 0 69 0 0 250.6041 1.87018
Jun 11th 08:44:28.648 UTC 3 12 1 497 490 1309.878 2221.811 10.0214 193.6228 13.39166 2 1 57 0 0 0 NaN
Jun 11th 08:43:49.182 UTC 2 14 37 745 739 1926.296 2896.973 0 296.8842 144.0639 0 0 69 0 0 250.6041 1.87018
Jun 11th 08:43:28.646 UTC 3 12 0 494 489 1299.873 2216.188 10.0214 193.3396 13.40195 2 1 57 0 0 0 NaN
Jun 11th 08:42:49.181 UTC 2 15 35 744 737 1925.496 2891.162 0 296.692 144.2357 0 0 69 0 0 250.6041 1.87018
Jun 11th 08:42:28.646 UTC 3 10 1 492 487 1294.518 2213.169 10.0214 193.0779 13.48767 2 1 57 0 0 0 NaN
Jun 11th 08:41:49.171 UTC 2 14 35 740 737 1914.211 2891.162 0 297.5844 144.1763 0 0 69 0 0 250.6041 1.87018
Jun 11th 08:41:28.635 UTC 3 8 0 490 487 1281.806 2213.169 10.0214 193.3013 13.51476 2 1 57 0 0 0 NaN
Jun 11th 08:40:48.011 UTC 2 15 37 737 731 1906.482 2868.885 0 298.1483 143.8981 0 0 68 0 0 250.6041 1.87018
Jun 11th 08:40:28.647 UTC 3 8 0 489 486 1280.466 2209.669 10.0214 193.5409 13.53521 2 1 57 0 0 0 NaN
Jun 11th 08:39:48.017 UTC 2 14 38 736 727 1900.508 2852.559 0 298.4954 143.8591 0 0 68 0 0 250.6041 1.87018
Jun 11th 08:39:28.646 UTC 3 7 0 488 484 1279.266 2197.405 10.0214 193.4682 13.58075 2 1 57 0 0 0 NaN
Jun 11th 08:38:48.019 UTC 2 15 40 735 721 1894.535 2829.615 0 298.7515 144.5574 0 0 68 0 0 249.8041 1.878226
Jun 11th 08:38:28.637 UTC 3 6 1 487 483 1276.611 2191.61 10.0214 193.5647 13.60794 2 1 57 0 0 0 NaN
Jun 11th 08:37:48.008 UTC 2 14 40 731 720 1883.182 2825.055 0 299.5281 144.9272 0 0 68 0 0 249.8041 1.892455
Jun 11th 08:37:28.646 UTC 3 10 0 487 478 1276.611 2170.724 10.0214 193.5647 13.63474 2 1 57 0 0 0 NaN
Jun 11th 08:36:48.009 UTC 2 15 40 726 719 1862.235 2820.715 0 299.9126 144.9272 0 0 68 0 0 240.7366 1.895564
