dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown potentialLost avgPotentialLost
Jun 11th 11:55:23.699 UTC 3 7 1 527 524 1373.787 2393.251 0 194.0014 11.26276 0 0 78 0 0 0 NaN
Jun 11th 11:54:59.681 UTC 2 15 41 720 712 2262.879 3125.215 0 427.7468 253.6576 0 0 44 0 0 304.5577 0.6890445
Jun 11th 11:54:23.692 UTC 3 8 0 527 522 1373.787 2383.004 0 194.0014 11.27147 0 0 78 0 0 0 NaN
Jun 11th 11:53:59.672 UTC 2 15 40 718 712 2255.341 3125.215 0 428.2527 253.6576 0 0 44 0 0 302.6677 0.6926034
Jun 11th 11:53:23.690 UTC 3 8 0 526 521 1372.437 2379.066 0 193.9333 11.28593 0 0 78 0 0 0 NaN
Jun 11th 11:52:59.673 UTC 2 15 40 717 711 2251.663 3119.898 0 428.3635 253.955 0 0 44 0 0 299.8777 0.6941614
Jun 11th 11:52:22.862 UTC 3 10 0 524 519 1370.937 2374.88 0 193.9752 11.28593 0 0 77 0 0 0 NaN
Jun 11th 11:51:59.672 UTC 2 15 37 714 709 2244.859 3114.25 0 428.1133 254.6105 0 0 44 0 0 299.8777 0.6941614
Jun 11th 11:51:22.852 UTC 3 10 0 522 516 1364.512 2368.769 0 194.0406 11.3231 0 0 77 0 0 0 NaN
Jun 11th 11:50:59.675 UTC 2 14 39 712 706 2234.363 3101.712 0 428.8184 255.7349 0 0 44 0 0 299.8777 0.6941614
Jun 11th 11:50:22.863 UTC 3 11 0 519 514 1350.877 2363.621 0 194.4944 11.32606 0 0 77 0 0 0 NaN
Jun 11th 11:49:59.673 UTC 2 15 38 711 701 2230.38 3077.638 0 428.9885 256.3985 0 0 44 0 0 299.8777 0.6941614
Jun 11th 11:49:22.863 UTC 3 11 0 518 512 1349.537 2352.861 0 194.7262 11.34935 0 0 77 0 0 0 NaN
Jun 11th 11:48:59.681 UTC 2 15 39 709 699 2221.707 3068.556 0 429.678 255.9873 0 0 44 0 0 298.7877 0.693243
Jun 11th 11:48:21.394 UTC 3 10 0 515 510 1340.747 2344.669 0 194.8383 11.39498 0 0 75 0 0 0 NaN
Jun 11th 11:47:59.682 UTC 2 15 40 707 698 2214.046 3064.13 0 430.2009 256.2527 0 0 44 0 0 298.7877 0.693243
Jun 11th 11:47:21.404 UTC 3 10 0 514 507 1338.092 2328.027 0 194.9445 11.43812 0 0 75 0 0 0 NaN
Jun 11th 11:46:59.673 UTC 2 15 39 703 697 2193.492 3058.782 0 431.4903 256.5695 0 0 44 0 0 297.0877 0.6925122
Jun 11th 11:46:21.404 UTC 3 13 0 513 503 1334.627 2311.96 0 195.0469 11.45778 0 0 75 0 0 0 NaN
Jun 11th 11:45:59.670 UTC 2 14 40 701 693 2187.158 3037.886 0 432.0156 257.9815 0 0 44 0 0 297.0877 0.6925122
Jun 11th 11:45:21.395 UTC 3 13 0 511 502 1330.707 2304.943 0 195.3856 11.4717 0 0 75 0 0 0 NaN
Jun 11th 11:44:59.681 UTC 2 15 40 699 690 2177.465 3026.341 0 432.6396 258.5652 0 0 44 0 0 296.0078 0.6981315
Jun 11th 11:44:21.395 UTC 3 12 1 509 501 1323.933 2301.659 0 195.1887 11.50751 0 0 75 0 0 0 NaN
Jun 11th 11:43:59.680 UTC 2 15 41 697 688 2171.472 3017.511 0 433.2686 259.0997 0 0 44 0 0 295.2078 0.6995445
Jun 11th 11:43:21.394 UTC 3 11 1 505 500 1314.686 2297.536 0 195.4594 11.52196 0 0 75 0 0 0 NaN
